Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQM26 (TM_6)	Short	2026-04-05  19:04:13.456 BP	2026-04-05  19:07:12.305 EP	24043.50	24094.50	3	3	3	-3072.60	-3072.60	IPS(all)+TM(all+last50)	3	0	00:02:58	12.60	24094.50	24041.00	-0.4%	100.0%	-3072.60 F	150.00	-3060.00	150.00	-3060.00	-95.7%	TM_6	0.00	-3072.60	0.00	-3072.60
NQM26	Long	2026-04-05  19:58:26.221 BP	2026-04-05  20:00:42.279	24090.25	24121.00	1	3	1	610.80	-2461.80	IPS(all)+TM(all+last50)	3	2	00:02:16	4.20	24121.00	24084.00	99.4%	100.0%	610.80	615.00	-125.00	615.00	-125.00	82.5%	TM_6	0.00	-3072.60	610.80	-3072.60
NQM26	Long	2026-04-05  19:58:26.221	2026-04-05  20:01:55.775	24090.25	24151.75	1	3	2	1225.80	-1236.00	IPS(all)+TM(all+last50)	3	1	00:03:29	4.20	24156.00	24084.00	67.7%	100.0%	1836.60	1930.00	-250.00	1315.00	-125.00	56.2%	TM_6	0.00	-3072.60	1836.60	-3072.60
NQM26	Long	2026-04-05  19:58:26.221	2026-04-05  20:02:08.395 EP	24090.25	24145.75	1	3	3	1105.80	-130.20	IPS(all)+TM(all+last50)	3	0	00:03:42	4.20	24157.75	24084.00	40.5%	100.0%	2942.40 F	3280.00	-375.00	1350.00	-125.00	30.3%	TM_6	0.00	-3072.60	2942.40	-3072.60
NQM26	Long	2026-04-05  22:09:54.942 BP	2026-04-05  22:11:10.327	24244.00	24273.00	1	3	1	575.80	445.60	IPS(all)+TM(all+last50)	3	2	00:01:15	4.20	24273.00	24226.75	99.5%	100.0%	575.80	580.00	-345.00	580.00	-345.00	62.2%	TM_6	445.60	-3072.60	3518.20	-3072.60
NQM26	Long	2026-04-05  22:09:54.942	2026-04-05  22:20:31.648	24244.00	24300.50	1	3	2	1125.80	1571.40	IPS(all)+TM(all+last50)	3	1	00:10:36	4.20	24300.50	24226.75	75.7%	100.0%	1701.60	1710.00	-690.00	1130.00	-345.00	46.9%	TM_6	1571.40	-3072.60	4644.00	-3072.60
NQM26	Long	2026-04-05  22:09:54.942	2026-04-05  22:22:19.531 EP	24244.00	24308.75	1	3	3	1290.80	2862.20	IPS(all)+TM(all+last50)	3	0	00:12:24	4.20	24319.50	24226.75	54.7%	100.0%	2992.40 F	3220.00	-1035.00	1510.00	-345.00	30.3%	TM_6	2862.20	-3072.60	5934.80	-3072.60
NQM26	Short	2026-04-06  01:41:34.238 BP	2026-04-06  02:12:34.157 EP	24222.75	24268.00	3	3	3	-2727.60	134.60	IPS(all)+TM(all+last50)	3	0	00:30:59	12.60	24268.00	24212.00	-0.4%	100.0%	-2727.60 F	645.00	-2715.00	645.00	-2715.00	-81.2%	TM_6	2862.20	-3072.60	5934.80	-3072.60
NQM26	Long	2026-04-06  02:50:24.317 BP	2026-04-06  02:50:27.722 EP	24263.00	24246.25	3	3	3	-1017.60	-883.00	IPS(all)+TM(all+last50)	3	0	00:00:03	12.60	24263.00	24246.25	-1.3%	100.0%	-1017.60 F	0.00	-1005.00	0.00	-1005.00	-101.3%	TM_6	2862.20	-3072.60	5934.80	-3745.20
NQM26	Short	2026-04-06  05:50:30.124 BP	2026-04-06  05:54:02.357	24361.75	24334.75	1	3	1	535.80	-347.20	IPS(all)+TM(all+last50)	3	2	00:03:32	4.20	24371.00	24334.75	99.4%	100.0%	535.80	540.00	-185.00	540.00	-185.00	73.9%	TM_6	2862.20	-3072.60	5934.80	-3745.20
