symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
CL,Fri,00:00,0,TS_5,17,2478.5,2599.9999418854713,145.79,358.59124869692357,13,76.5
CL,Fri,01:00,1,TM_2,13,3829.0,3909.9999126046896,294.54,734.7715030762505,11,84.6
CL,Fri,02:00,2,3Q_sim14,205,8674.5,10559.999763965607,42.31,359.4400280408172,121,59.0
CL,Fri,03:00,3,TM_9,11,5589.0,5669.999873265624,508.09,504.70177287953663,10,90.9
CL,Fri,04:00,4,IPS_TM_11,159,9930.5,11419.999744743109,62.46,382.27290905834434,89,56.0
CL,Fri,05:00,5,IPS_TM_11,117,7140.0,8219.999816268682,61.03,465.78525467636786,67,57.3
CL,Fri,06:00,6,3Q_sim14,373,23214.5,26539.999406784773,62.24,464.9812334913914,202,54.2
CL,Fri,07:00,7,TM_9,14,4462.0,4569.99989785254,318.71,1133.6265702834696,10,71.4
CL,Fri,08:00,8,IPS_TM_11,183,6441.5,8209.9998164922,35.2,409.81531360104754,97,53.0
CL,Fri,09:00,9,IPS_TM_5dupli,100,7411.0,8139.999818056822,74.11,288.39073564541314,62,62.0
CL,Fri,10:00,10,3Q_sim14,867,13785.0,21389.999521896243,15.9,372.06313630693853,398,45.9
CL,Fri,11:00,11,TS_3,13,2619.0,2699.999939650297,201.46,479.39372362358984,12,92.3
CL,Fri,12:00,12,3Q_sim14,600,3427.5,9120.003507882358,5.71,804.9973237554268,250,41.7
CL,Fri,13:00,13,3Q_sim15,109,10516.5,11429.999744519591,96.48,377.35675821115717,75,68.8
CL,Fri,14:00,14,3Q_sim13,141,7346.0,8749.99980442226,52.1,396.34033116694206,64,45.4
CL,Fri,15:00,15,3Q_sim10,5,999.5,1039.9999767541885,199.9,460.8972668556552,3,60.0
CL,Mon,00:00,0,TM_5,23,2214.5,2389.999946579337,96.28,195.81895342649682,14,60.9
CL,Mon,01:00,1,3Q_sim13,83,8548.0,9159.999795258045,102.99,481.70998311957317,54,65.1
CL,Mon,02:00,2,3Q_sim13,102,8120.5,8979.999799281359,79.61,510.67602529158336,58,56.9
CL,Mon,03:00,3,IPS_TM_7,59,6193.0,6489.999854937196,104.97,377.71989629471744,40,67.8
CL,Mon,04:00,4,IPS_TM_7,62,12288.0,12629.999717697501,198.19,715.9484398713706,42,67.7
CL,Mon,05:00,5,3Q_sim7,27,5961.5,6109.999863430858,220.8,414.1351011100214,22,81.5
CL,Mon,06:00,6,IPS_TM_6,6,3913.0,3939.9999119341373,652.17,320.91535030721724,6,100.0
CL,Mon,07:00,7,IPS_TM_11,217,12341.5,14109.999684616923,56.87,437.52508091115675,132,60.8
CL,Mon,08:00,8,3Q_sim14,535,70000.0,74859.99832674861,130.84,604.0837062670512,299,55.9
CL,Mon,09:00,9,TM_9,149,11774.5,12939.999710768461,79.02,543.9080414693517,95,63.8
CL,Mon,10:00,10,3Q_sim14,888,15733.49,24269.99467335642,17.72,759.9124363493958,420,47.3
CL,Mon,11:00,11,TM_9,82,6517.5,7169.999839738011,79.48,584.3985036124983,53,64.6
