symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,total_gross_pnl,avg_pnl_trade,std_pnl,wins,win_rate
CL,Fri,00:00,0,TS_5,17,2478.5,2599.9999418854713,145.79,358.59124869692357,13,76.5
CL,Fri,01:00,1,TM_2,13,3829.0,3909.9999126046896,294.54,734.7715030762505,11,84.6
CL,Fri,02:00,2,3Q_sim14,205,8674.5,10559.999763965607,42.31,359.4400280408172,121,59.0
CL,Fri,03:00,3,TM_9,11,5589.0,5669.999873265624,508.09,504.70177287953663,10,90.9
CL,Fri,04:00,4,IPS_TM_11,159,9930.5,11419.999744743109,62.46,382.27290905834434,89,56.0
CL,Fri,05:00,5,IPS_TM_11,116,7813.5,8879.999801516533,67.36,462.7207422183951,67,57.8
CL,Fri,06:00,6,3Q_sim14,369,23809.5,27089.999394491315,64.52,466.34210308340846,202,54.7
CL,Fri,07:00,7,TM_9,14,4462.0,4569.99989785254,318.71,1133.6265702834696,10,71.4
CL,Fri,08:00,8,IPS_TM_11,181,6768.5,8509.999809786677,37.4,411.4379131606213,97,53.6
CL,Fri,09:00,9,IPS_TM_5dupli,98,7468.0,8169.99981738627,76.2,290.89650006320187,61,62.2
CL,Fri,10:00,10,3Q_sim14,854,14005.5,21479.999519884586,16.4,374.86045210938147,397,46.5
CL,Fri,11:00,11,TS_3,13,2619.0,2699.999939650297,201.46,479.39372362358984,12,92.3
CL,Fri,12:00,12,3Q_sim14,599,3441.0,9120.003507882358,5.74,805.6697335792427,250,41.7
CL,Fri,13:00,13,3Q_sim15,109,10516.5,11429.999744519591,96.48,377.35675821115717,75,68.8
CL,Fri,14:00,14,3Q_sim13,140,7373.0,8749.99980442226,52.66,397.7064709420273,64,45.7
CL,Fri,15:00,15,TS_7,3,1026.5,1039.9999767541885,342.17,115.0362236069893,3,100.0
CL,Fri,16:00,16,IPS_TM_5dupli,1,55.5,59.99999865889549,55.5,95.49912531884482,1,100.0
CL,Mon,00:00,0,TM_5,23,2214.5,2389.999946579337,96.28,195.81895342649682,14,60.9
CL,Mon,01:00,1,3Q_sim13,82,9011.5,9609.999785199761,109.9,480.519620210069,54,65.9
CL,Mon,02:00,2,3Q_sim13,101,8147.5,8979.999799281359,80.67,513.111210842005,58,57.4
CL,Mon,03:00,3,IPS_TM_7,58,6197.5,6489.999854937196,106.85,380.7380905730772,40,69.0
CL,Mon,04:00,4,IPS_TM_7,62,12288.0,12629.999717697501,198.19,715.9484398713706,42,67.7
CL,Mon,05:00,5,3Q_sim7,25,5350.5,5489.999877288938,214.02,430.29580631194756,20,80.0
CL,Mon,06:00,6,IPS_TM_6,6,3913.0,3939.9999119341373,652.17,320.91535030721724,6,100.0
CL,Mon,07:00,7,IPS_TM_11,216,12895.0,14649.999672546983,59.7,436.552083360139,132,61.1
CL,Mon,08:00,8,3Q_sim14,531,70046.0,74869.99832652509,131.91,606.2294288813334,297,55.9
CL,Mon,09:00,9,TM_9,143,13086.5,14179.999683052301,91.51,549.3583617485006,93,65.0
CL,Mon,10:00,10,3Q_sim14,880,15576.49,24049.994678273804,17.7,763.3359914831871,417,47.4
