slot_id_or_portfolio,symbol,day,bucket,n_obs,n_blocks,point_mean,mean,median,p5,p25,p75,p95,prob_negative
260,ES,Mon,25,5818,48,-41.4382,-41.5848,-41.3294,-53.4315,-46.0477,-36.7767,-30.5565,1.0
863,NQ,Thu,28,1856,45,23.3648,22.43,23.2487,-17.0004,7.656,38.539,58.6603,0.1638
259,ES,Mon,24,6064,48,-26.5687,-26.8642,-27.1579,-40.216,-32.4425,-21.4428,-13.076,0.9982
677,FDAX,Fri,27,259,32,-96.4286,-98.6462,-95.3053,-502.2991,-257.7442,66.7129,290.5021,0.6528
716,NQ,Mon,23,1649,49,-68.3111,-69.2508,-68.9515,-110.5094,-85.5437,-52.7707,-29.6696,0.9976
357,ES,Wed,28,7304,48,-29.6344,-29.9608,-30.0985,-49.0403,-38.0918,-21.9571,-10.1525,0.9918
675,FDAX,Fri,25,389,32,-422.8149,-387.5958,-407.772,-749.2384,-568.2702,-227.9651,45.2102,0.9318
718,NQ,Mon,25,1640,49,-10.6189,-11.2898,-11.0944,-51.9203,-28.5993,5.8953,29.2139,0.6732
358,ES,Wed,29,8596,48,-11.1244,-11.6827,-11.6571,-27.9376,-18.3057,-4.9686,4.0268,0.8858
712,NQ,Mon,19,4448,49,-45.0045,-45.0566,-43.9733,-81.3859,-58.5127,-30.8923,-12.4005,0.9896
719,NQ,Mon,26,1444,45,-8.7361,-8.9163,-8.7382,-37.0371,-20.1386,2.9791,18.4693,0.6932
180,CL,Thu,40,198,35,-136.7677,-142.3746,-138.6679,-202.0021,-160.615,-120.2098,-98.3758,1.0
714,NQ,Mon,21,2357,49,-17.6389,-19.5534,-19.8204,-58.8926,-36.6868,-2.86,20.8791,0.7838
282,ES,Tue,0,571,44,-14.5359,-14.926,-16.7007,-58.4457,-36.1182,2.9652,37.2301,0.718
854,NQ,Thu,19,4929,46,-10.7994,-10.6275,-10.7945,-30.0914,-18.4525,-2.9383,9.5525,0.8182
223,CL,Sun,36,1250,32,53.92,40.9461,49.4509,-34.4117,8.5299,74.0936,99.9165,0.2044
587,FDAX,Wed,27,248,40,-82.1573,-92.2254,-89.9086,-454.5593,-235.4697,58.1003,253.6299,0.6576
715,NQ,Mon,22,1875,49,-83.744,-82.4965,-82.8049,-123.721,-100.0639,-65.061,-39.7579,0.9992
901,NQ,Fri,19,4529,47,-0.1623,-0.5462,-3.344,-50.0289,-23.6047,19.685,58.4339,0.54
906,NQ,Fri,24,1795,47,-37.2033,-37.0161,-37.0486,-66.348,-49.0843,-25.1319,-7.5329,0.9786
648,FDAX,Thu,46,43,16,-415.6977,-427.6614,-422.2136,-859.3268,-601.964,-244.5946,-22.006,0.9634
PORTFOLIO,ALL,ALL,-1,57262,273,-26.6981,-26.8156,-26.9344,-36.5664,-30.9216,-22.8182,-16.8104,0.9998
