cycle,train_start,train_end,eval_month,rank,slot_id,symbol,day,bucket,is_mean,is_t,is_n,is_total,forward_mean,forward_n,forward_total_pnl
23,2025-11,2026-04,2026-05,1,361,ES,Wednesday,16:00,77.7413,5.238,2207,171575.0,-35.8079,229,-8200.0
23,2025-11,2026-04,2026-05,2,30,CL,Monday,15:00,246.0611,5.0802,589,144930.0,-177.7778,36,-6400.0
23,2025-11,2026-04,2026-05,3,241,ES,Monday,03:00,100.7789,4.8664,979,98662.5,145.172,189,27437.5
23,2025-11,2026-04,2026-05,4,452,ES,Friday,14:30,47.0345,4.8213,2449,115187.5,60.4714,419,25337.5
23,2025-11,2026-04,2026-05,5,54,CL,Tuesday,03:30,104.8817,4.4851,338,35450.0,121.6667,42,5110.0
23,2025-11,2026-04,2026-05,6,72,CL,Tuesday,12:30,160.2929,4.3435,478,76620.0,-138.6364,22,-3050.0
23,2025-11,2026-04,2026-05,7,431,ES,Friday,04:00,67.5633,4.2579,711,48037.5,53.2126,214,11387.5
23,2025-11,2026-04,2026-05,8,223,CL,Sunday,18:00,94.095,4.2364,989,93059.99,-122.2754,167,-20420.0
23,2025-11,2026-04,2026-05,9,205,CL,Friday,08:30,95.0682,4.1725,513,48770.01,-67.1642,67,-4500.0
23,2025-11,2026-04,2026-05,10,365,ES,Wednesday,18:30,186.1166,3.8797,253,47087.5,-77.2177,62,-4787.5
23,2025-11,2026-04,2026-05,11,661,FDAX,Friday,05:30,291.6406,3.8542,320,93325.0,-688.3929,28,-19275.0
23,2025-11,2026-04,2026-05,12,673,FDAX,Friday,11:30,332.4615,3.7743,650,216100.0,401.6176,170,68275.0
23,2025-11,2026-04,2026-05,13,238,ES,Monday,01:30,141.8764,3.6025,437,62000.0,11.9792,96,1150.0
23,2025-11,2026-04,2026-05,14,401,ES,Thursday,12:30,48.8511,3.5975,3264,159450.0,5.3089,518,2750.0
23,2025-11,2026-04,2026-05,15,541,FDAX,Tuesday,13:00,644.1281,3.5073,281,181000.0,-970.8333,6,-5825.0
23,2025-11,2026-04,2026-05,16,366,ES,Wednesday,19:00,105.102,3.4551,392,41200.0,233.8235,34,7950.0
23,2025-11,2026-04,2026-05,17,206,CL,Friday,09:00,59.1042,3.3213,614,36290.0,88.5714,133,11780.0
23,2025-11,2026-04,2026-05,18,285,ES,Tuesday,01:30,82.5137,3.2208,366,30200.0,24.6875,40,987.5
23,2025-11,2026-04,2026-05,19,319,ES,Tuesday,19:00,83.309,3.1818,513,42737.5,37.9167,30,1137.5
23,2025-11,2026-04,2026-05,20,169,CL,Thursday,14:00,72.2244,2.9884,517,37340.0,5.082,183,930.0
23,2025-11,2026-04,2026-05,21,880,NQ,Thursday,23:00,81.8893,2.9475,262,21455.0,-328.0769,26,-8530.0
23,2025-11,2026-04,2026-05,22,851,NQ,Thursday,08:00,108.0127,2.9297,395,42665.0,-137.3077,52,-7140.0
23,2025-11,2026-04,2026-05,23,537,FDAX,Tuesday,11:00,275.4061,2.9195,554,152575.0,-235.0,60,-14100.0
23,2025-11,2026-04,2026-05,24,95,CL,Wednesday,00:30,136.2136,2.8659,103,14030.0,-592.5,4,-2370.0
23,2025-11,2026-04,2026-05,25,249,ES,Monday,07:00,61.5477,2.8009,1247,76750.0,83.6842,190,15900.0
23,2025-11,2026-04,2026-05,26,4,CL,Monday,02:00,54.5156,2.6963,640,34890.0,260.0,31,8060.0
23,2025-11,2026-04,2026-05,27,171,CL,Thursday,15:00,147.5909,2.6789,220,32470.0,-148.25,80,-11860.0
23,2025-11,2026-04,2026-05,28,754,NQ,Tuesday,06:30,56.7812,2.6536,393,22315.0,-5.2525,99,-520.0
23,2025-11,2026-04,2026-05,29,239,ES,Monday,02:00,68.3231,2.6433,571,39012.5,-9.375,88,-825.0
23,2025-11,2026-04,2026-05,30,47,CL,Tuesday,00:00,97.8788,2.5853,99,9690.0,-286.6667,3,-860.0
23,2025-11,2026-04,2026-05,31,16,CL,Monday,08:00,57.8937,2.5559,527,30510.0,11.1688,77,860.0
23,2025-11,2026-04,2026-05,32,173,CL,Thursday,16:00,95.0973,2.5286,257,24440.0,195.2941,85,16600.0
23,2025-11,2026-04,2026-05,33,105,CL,Wednesday,05:30,54.6885,2.4886,305,16680.0,-93.6842,38,-3560.0
23,2025-11,2026-04,2026-05,34,373,ES,Wednesday,22:30,63.365,2.4834,448,28387.5,-189.0306,49,-9262.5
23,2025-11,2026-04,2026-05,35,142,CL,Thursday,00:30,106.4228,2.43,123,13090.0,237.1429,14,3320.0
23,2025-11,2026-04,2026-05,36,875,NQ,Thursday,20:30,72.0648,2.3918,293,21115.0,12.6515,66,835.0
23,2025-11,2026-04,2026-05,37,201,CL,Friday,06:30,58.3618,2.3526,293,17100.0,-28.169,71,-2000.0
23,2025-11,2026-04,2026-05,38,792,NQ,Wednesday,02:00,58.1788,2.3274,302,17570.0,-29.375,56,-1645.0
23,2025-11,2026-04,2026-05,39,25,CL,Monday,12:30,60.8221,2.2849,669,40690.0,-37.9798,99,-3760.0
23,2025-11,2026-04,2026-05,40,907,NQ,Friday,12:30,55.3427,2.2535,715,39570.0,-102.4074,162,-16590.0
23,2025-11,2026-04,2026-05,41,212,CL,Friday,12:00,87.6159,2.2041,302,26460.0,-5.0649,77,-390.0
23,2025-11,2026-04,2026-05,42,895,NQ,Friday,06:30,44.6257,2.1585,374,16690.0,-81.6667,129,-10535.0
23,2025-11,2026-04,2026-05,43,248,ES,Monday,06:30,65.8333,2.137,705,46412.5,-94.4375,200,-18887.5
