slot_id,symbol,day,bucket,train_n,train_t,holdout_n,holdout_t,holdout_bon_p,best_month,best_month_pct,ex_best_t,ex_best_bon_p,survives_exclusion,boot_prob_negative,boot_p5,boot_p95
260,ES,Mon,25,8081,7.4315,5818,-10.5716,1.0,2026-03,22.61,-9.3967,1.0,False,1.0,-53.4315,-30.5565
863,NQ,Thu,28,2622,7.4538,1856,1.4177,1.0,2025-11,55.68,0.7472,1.0,False,0.1638,-17.0004,58.6603
259,ES,Mon,24,8236,7.0049,6064,-6.8827,1.0,2025-12,16.78,-5.941,1.0,False,0.9982,-40.216,-13.076
677,FDAX,Fri,27,1171,6.4457,259,-0.8703,1.0,2026-02,130.83,0.2882,1.0,False,0.6528,-502.2991,290.5021
716,NQ,Mon,23,2657,6.1246,1649,-4.7717,1.0,2026-06,25.26,-3.808,1.0,False,0.9976,-110.5094,-29.6696
357,ES,Wed,28,11422,5.9809,7304,-7.265,1.0,2025-10,26.16,-5.6792,1.0,False,0.9918,-49.0403,-10.1525
675,FDAX,Fri,25,1444,6.0131,389,-3.3125,1.0,2026-03,96.47,-0.2373,1.0,False,0.9318,-749.2384,45.2102
718,NQ,Mon,25,2579,5.9464,1640,-0.7219,1.0,2026-05,121.82,-2.0158,1.0,False,0.6732,-51.9203,29.2139
358,ES,Wed,29,10892,5.8958,8596,-2.9567,1.0,2025-12,42.1,-1.7893,1.0,False,0.8858,-27.9376,4.0268
712,NQ,Mon,19,6487,5.5333,4448,-4.7968,1.0,2026-05,35.88,-3.3311,1.0,False,0.9896,-81.3859,-12.4005
719,NQ,Mon,26,2333,5.5192,1444,-0.6896,1.0,2026-03,93.62,-1.4426,1.0,False,0.6932,-37.0371,18.4693
180,CL,Thu,40,378,5.2289,198,-4.4354,1.0,2026-03,27.14,-4.7977,1.0,False,1.0,-202.0021,-98.3758
714,NQ,Mon,21,3236,4.7345,2357,-1.3929,1.0,2026-04,60.54,-2.5089,1.0,False,0.7838,-58.8926,20.8791
282,ES,Tue,0,684,4.5816,571,-0.9042,1.0,2026-07,150.9,-2.4353,1.0,False,0.718,-58.4457,37.2301
854,NQ,Thu,19,8560,4.229,4929,-0.9087,1.0,2026-02,69.93,-0.2921,1.0,False,0.8182,-30.0914,9.5525
223,CL,Sun,36,1303,4.1523,1250,2.8543,0.04604,2026-03,135.16,-2.0126,1.0,False,0.2044,-34.4117,99.9165
587,FDAX,Wed,27,1135,3.6476,248,-0.6611,1.0,2026-04,163.93,-2.0996,1.0,False,0.6576,-454.5593,253.6299
715,NQ,Mon,22,2563,3.6155,1875,-6.1427,1.0,2026-04,30.03,-4.7877,1.0,False,0.9992,-123.721,-39.7579
901,NQ,Fri,19,5928,3.5392,4529,-0.0109,1.0,2026-01,17708.16,-2.3076,1.0,False,0.54,-50.0289,58.4339
906,NQ,Fri,24,2277,3.5112,1795,-2.8454,1.0,2026-04,33.21,-1.998,1.0,False,0.9786,-66.348,-7.5329
648,FDAX,Thu,46,120,3.5982,43,-2.1067,1.0,2026-05,71.47,-0.8703,1.0,False,0.9634,-859.3268,-22.006
-1,PORTFOLIO,ALL,-1,-1,,57262,-10.2363,,2026-03,17.97,,,False,0.9998,-36.5664,-16.8104
