symbol,account_name,total_trades,total_gross_pnl,mean_pnl,std_pnl,win_rate,t_stat,est_total_comm,total_net_pnl,net_mean_pnl
NQ,TM_7,12589,774955.0,61.56,941.756577172184,59.69,7.33,56650.5,718304.5,57.06
NQ,TS_2,5202,505695.0,97.21,991.4356417824539,66.32,7.07,23409.0,482286.0,92.71
NQ,V500_sim10,17728,371995.0,20.98,553.2613744722825,29.51,5.05,79776.0,292219.0,16.48
NQ,TM_6,4641,186040.0,40.09,867.5472032676709,63.52,3.15,20884.5,165155.5,35.59
NQ,IPS_TM_6,5087,187910.0,36.94,868.6530544623746,62.96,3.03,22891.5,165018.5,32.44
NQ,TM_3,4125,146580.0,35.53,618.4022163958317,62.11,3.69,18562.5,128017.5,31.03
NQ,IPS_TM_3,4583,114975.0,25.09,573.2491924467488,61.84,2.96,20623.5,94351.5,20.59
ES,ES-TS_3,11916,97575.0,8.19,647.1782419872105,67.04,1.38,53622.0,43953.0,3.69
NQ,TM_9,3045,30155.0,9.9,1004.8150169419897,54.58,0.54,13702.5,16452.5,5.4
CL,IPS_TM_6,944,20570.0,21.79,602.1911732184205,66.21,1.11,4248.0,16322.0,17.29
CL,IPS_TM_12,823,11360.0,13.8,641.4940182213893,43.5,0.62,3703.5,7656.5,9.3
CL,TM_6,934,7970.0,8.53,436.26481742724854,65.85,0.6,4203.0,3767.0,4.03
NQ,Import,98,2905.0,29.64,446.123769290287,59.18,0.66,441.0,2464.0,25.14
CL,TS_3,195,2620.0,13.44,251.11911784969925,66.15,0.75,877.5,1742.5,8.94
NQ,sachin_,20,1750.0,87.5,537.7107909804694,45.0,0.73,90.0,1660.0,83.0
CL,CL-TS_3,37,1590.0,42.97,237.4501633229271,67.57,1.1,166.5,1423.5,38.47
CL,TM_3,834,4630.0,5.55,299.53343660135886,59.95,0.54,3753.0,877.0,1.05
CL,CL-TS_7,7,800.0,114.29,298.9346095170587,85.71,1.01,31.5,768.5,109.79
CL,ZB-TM_6,4,380.0,95.0,172.14334726796767,75.0,1.1,18.0,362.0,90.5
CL,V500_sim10,6,-80.0,-13.33,5.163977679519324,0.0,-6.32,27.0,-107.0,-17.83
NQ,ES-IPS_TM_3,21,-130.0,-6.19,99.1199369691179,52.38,-0.29,94.5,-224.5,-10.69
NQ,3Q_sim16,478,1920.0,4.02,181.29332629624625,40.17,0.48,2151.0,-231.0,-0.48
NQ,3Q_sim19,460,1830.0,3.98,188.5081887266768,40.65,0.45,2070.0,-240.0,-0.52
ES,V_sim7,52,-50.0,-0.96,51.79653313345933,11.54,-0.13,234.0,-284.0,-5.46
NQ,3Q_sim9,40,-190.0,-4.75,38.26275554032226,32.5,-0.79,180.0,-370.0,-9.25
NQ,3Q_sim8,543,2005.0,3.69,174.15357581374215,41.62,0.49,2443.5,-438.5,-0.81
NQ,A_sim9,38,-285.0,-7.5,33.52590769071713,34.21,-1.38,171.0,-456.0,-12.0
CL,IPS_TM_3,829,3250.0,3.92,309.92237455368127,59.35,0.36,3730.5,-480.5,-0.58
NQ,V_sim7,62,-355.0,-5.73,74.10032396443388,9.68,-0.61,279.0,-634.0,-10.23
CL,CL-TS_2,99,-340.0,-3.43,197.09192284710187,53.54,-0.17,445.5,-785.5,-7.93
CL,IPSTMUD1,17,-790.0,-46.47,293.2563057487693,64.71,-0.65,76.5,-866.5,-50.97
NQ,3Q_sim15,360,685.0,1.9,182.63752857676906,41.39,0.2,1620.0,-935.0,-2.6
ES,V500_sim15,39,-862.5,-22.12,46.37000243159443,0.0,-2.98,175.5,-1038.0,-26.62
