slot_id,symbol,day_name,bucket_label,total_trades,total_gross_pnl,mean_pnl,std_pnl,win_rate,t_stat,est_total_comm,total_net_pnl,net_mean_pnl
358,ES,Wed,14:30,19800,589000.0,29.75,885.223299246266,44.82,4.73,89100.0,499900.0,25.25
677,FDAX,Fri,13:30,1452,382125.0,263.17,1831.2839606087593,57.3,5.48,7986.0,374139.0,257.67
719,NQ,Mon,13:00,3896,368275.0,94.53,1148.7134122735238,64.5,5.14,17532.0,350743.0,90.03
716,NQ,Mon,11:30,4445,358950.0,80.75,1226.9563746835047,61.37,4.39,20002.5,338947.5,76.25
357,ES,Wed,14:00,18983,340950.0,17.96,729.273667924377,43.45,3.39,85423.5,255526.5,13.46
718,NQ,Mon,12:30,4383,272940.0,62.27,836.8557375669101,64.45,4.93,19723.5,253216.5,57.77
863,NQ,Thu,14:00,5042,268145.0,53.18,616.4215471605269,60.45,6.13,22689.0,245456.0,48.68
587,FDAX,Wed,13:30,1405,251250.0,178.83,2242.4233483292514,59.0,2.99,7727.5,243522.5,173.33
259,ES,Mon,12:00,14497,239700.0,16.53,525.170204332062,43.8,3.79,65236.5,174463.5,12.03
675,FDAX,Fri,12:30,1841,173650.0,94.32,1771.2628191449055,55.89,2.28,10125.5,163524.5,88.82
854,NQ,Thu,09:30,14742,221295.0,15.01,790.2264015015558,57.56,2.31,66339.0,154956.0,10.51
83,CL,Tue,18:30,602,146760.0,243.79,1168.5381513432362,64.62,5.12,2709.0,144051.0,239.29
617,FDAX,Thu,06:00,2390,154325.0,64.57,1224.1095524858933,55.9,2.58,13145.0,141180.0,59.07
714,NQ,Mon,10:30,5890,154315.0,26.2,694.4487388384061,62.04,2.9,26505.0,127810.0,21.7
543,FDAX,Tue,14:00,945,123300.0,130.48,2180.813578970647,58.73,1.84,5197.5,118102.5,124.98
859,NQ,Thu,12:00,4692,139100.0,29.65,596.5858885221942,63.79,3.4,21114.0,117986.0,25.15
632,FDAX,Thu,13:30,1257,122850.0,97.73,1586.3005243809873,58.95,2.18,6913.5,115936.5,92.23
30,CL,Mon,15:00,928,116800.0,125.86,967.6301813156625,55.06,3.96,4176.0,112624.0,121.36
862,NQ,Thu,13:30,4430,122650.0,27.69,630.2760926809798,57.65,2.92,19935.0,102715.0,23.19
484,FDAX,Mon,07:00,2061,112450.0,54.56,1539.0252522275757,57.59,1.61,11335.5,101114.5,49.06
