slot_id,symbol,day,bucket,session,n,avg_qty,avg_commission,gross_mean,gross_t,gross_total,net_mean,net_t,net_total,commission_drag_per_trade,pct_loss_from_commission
180,CL,Thu,20:00,after-hours,204,1.96,8.21,-133.33,-4.451,-27200.0,-141.55,-4.698,-28875.8,-8.22,6.2
223,CL,Sun,18:00,after-hours,1311,1.62,6.79,45.06,2.462,59069.99,38.27,2.085,50174.39,-6.79,15.1
259,ES,Mon,12:00,regular,6141,2.09,8.77,-26.95,-7.062,-165475.0,-35.72,-9.324,-219327.4,-8.77,32.5
260,ES,Mon,12:30,regular,5867,2.07,8.71,-41.58,-10.694,-243937.5,-50.29,-12.881,-295030.5,-8.71,20.9
282,ES,Tue,00:00,after-hours,572,2.08,8.75,-14.64,-0.912,-8375.0,-23.39,-1.45,-13381.4,-8.75,59.8
357,ES,Wed,14:00,regular,7395,1.97,8.26,-30.14,-7.478,-222900.0,-38.4,-9.495,-283972.2,-8.26,27.4
358,ES,Wed,14:30,regular,8775,1.98,8.32,-12.75,-3.449,-111862.5,-21.06,-5.68,-184833.3,-8.31,65.2
587,FDAX,Wed,13:30,regular,248,1.81,8.13,-82.16,-0.661,-20375.0,-90.29,-0.726,-22391.0,-8.13,9.9
648,FDAX,Thu,23:00,after-hours,43,1.72,7.74,-415.7,-2.107,-17875.0,-423.44,-2.141,-18208.0,-7.74,1.9
675,FDAX,Fri,12:30,regular,392,1.82,8.17,-422.96,-3.339,-165800.0,-431.13,-3.402,-169004.0,-8.17,1.9
677,FDAX,Fri,13:30,regular,260,1.65,7.44,-97.21,-0.881,-25275.0,-104.65,-0.947,-27210.0,-7.44,7.7
712,NQ,Mon,09:30,regular,4955,1.6,6.7,-42.86,-5.061,-212360.0,-49.56,-5.835,-245582.0,-6.7,15.6
714,NQ,Mon,10:30,regular,2476,1.65,6.92,-17.51,-1.45,-43345.0,-24.43,-2.017,-60485.2,-6.92,39.5
715,NQ,Mon,11:00,regular,1941,1.69,7.1,-81.37,-6.169,-157940.0,-88.47,-6.683,-171716.0,-7.1,8.7
716,NQ,Mon,11:30,regular,1688,1.72,7.22,-67.73,-4.838,-114325.0,-74.95,-5.333,-126517.6,-7.22,10.7
718,NQ,Mon,12:30,regular,1681,1.59,6.67,-12.05,-0.839,-20260.0,-18.72,-1.298,-31469.8,-6.67,55.3
719,NQ,Mon,13:00,regular,1463,1.58,6.65,-8.08,-0.646,-11815.0,-14.73,-1.172,-21546.4,-6.65,82.3
854,NQ,Thu,09:30,regular,5565,1.57,6.6,-14.9,-1.409,-82905.0,-21.5,-2.03,-119646.6,-6.6,44.3
863,NQ,Thu,14:00,regular,1925,1.59,6.69,23.01,1.448,44300.0,16.32,1.024,31418.6,-6.69,29.1
901,NQ,Fri,09:30,regular,5057,1.54,6.48,-1.57,-0.117,-7930.0,-8.05,-0.602,-40711.0,-6.48,412.9
906,NQ,Fri,12:00,regular,1851,1.6,6.7,-36.71,-2.888,-67945.0,-43.41,-3.404,-80351.8,-6.7,18.3
