slot_id,symbol,day,bucket,orig_n,orig_mean,orig_t,orig_bon_p,filt_n,filt_mean,filt_t,filt_bon_p,trades_removed,pct_removed,direction
180,CL,Thu,20:00,198,-136.77,-4.435,1.0,198,-136.77,-4.435,1.0,0,0.0,same
223,CL,Sun,18:00,1250,53.92,2.854,0.046,1250,53.92,2.854,0.046,0,0.0,same
259,ES,Mon,12:00,6064,-26.57,-6.883,1.0,6064,-26.57,-6.883,1.0,0,0.0,same
260,ES,Mon,12:30,5818,-41.44,-10.572,1.0,5818,-41.44,-10.572,1.0,0,0.0,same
282,ES,Tue,00:00,571,-14.54,-0.904,1.0,571,-14.54,-0.904,1.0,0,0.0,same
357,ES,Wed,14:00,7304,-29.63,-7.265,1.0,5107,-40.02,-8.363,1.0,2197,30.1,WORSENED
358,ES,Wed,14:30,8596,-11.12,-2.957,1.0,5255,-19.41,-4.358,1.0,3341,38.9,WORSENED
587,FDAX,Wed,13:30,248,-82.16,-0.661,1.0,219,-56.05,-0.403,1.0,29,11.7,IMPROVED
648,FDAX,Thu,23:00,43,-415.7,-2.107,1.0,43,-415.7,-2.107,1.0,0,0.0,same
675,FDAX,Fri,12:30,389,-422.81,-3.312,1.0,389,-422.81,-3.312,1.0,0,0.0,same
677,FDAX,Fri,13:30,259,-96.43,-0.87,1.0,259,-96.43,-0.87,1.0,0,0.0,same
712,NQ,Mon,09:30,4448,-45.0,-4.797,1.0,3858,-34.84,-3.454,1.0,590,13.3,IMPROVED
714,NQ,Mon,10:30,2357,-17.64,-1.393,1.0,2357,-17.64,-1.393,1.0,0,0.0,same
715,NQ,Mon,11:00,1875,-83.74,-6.143,1.0,1875,-83.74,-6.143,1.0,0,0.0,same
716,NQ,Mon,11:30,1649,-68.31,-4.772,1.0,1649,-68.31,-4.772,1.0,0,0.0,same
718,NQ,Mon,12:30,1640,-10.62,-0.722,1.0,1640,-10.62,-0.722,1.0,0,0.0,same
719,NQ,Mon,13:00,1444,-8.74,-0.69,1.0,1444,-8.74,-0.69,1.0,0,0.0,same
854,NQ,Thu,09:30,4929,-10.8,-0.909,1.0,4793,-11.19,-0.919,1.0,136,2.8,WORSENED
863,NQ,Thu,14:00,1856,23.36,1.418,1.0,1856,23.36,1.418,1.0,0,0.0,same
901,NQ,Fri,09:30,4529,-0.16,-0.011,1.0,4449,-5.24,-0.353,1.0,80,1.8,WORSENED
906,NQ,Fri,12:00,1795,-37.2,-2.845,1.0,1795,-37.2,-2.845,1.0,0,0.0,same
