NCP Model -- Fold 1
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 12.6162  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                        mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha               -44.9428   0.4208 -45.4960  -44.4312    4.3417    4.0323   7.3647
sigma_sym           111.1611  67.9963  41.0065  219.9125    4.1761   11.6128   8.2368
sigma_day            62.7098  36.7796  24.2838  110.8170    4.3667    4.0323   3.9411
sigma_bkt            49.8535  21.5787  22.4476   80.4742    4.4228   17.2522   4.2282
sigma_slot           34.1539  11.2320  18.6116   49.7961    4.2580   13.7446   9.2881
beta_sym_raw[0]       0.5113   0.1466   0.3574    0.7528    4.1748   11.2478   9.9262
beta_sym_raw[1]      -0.2900   0.6057  -0.8862    0.5256    4.2109    4.0323   5.0269
beta_sym_raw[2]       0.4984   0.3713   0.0603    0.9301    4.2307    4.0323   7.3570
beta_sym_raw[3]      -0.7975   0.1747  -0.9835   -0.6084    4.0824    4.0323   9.3597
beta_day_raw[0]      -0.5929   0.3957  -0.9800   -0.0765    4.1686   12.4224  11.9194
beta_day_raw[1]       0.7198   0.2402   0.4662    1.1154    4.3261    4.0323   3.9808
beta_day_raw[2]       0.2902   0.3599  -0.1193    0.7134    4.2219    4.0323   5.0720
beta_day_raw[3]      -0.2569   0.6554  -0.9519    0.5388    4.2239   11.1471   7.9844
beta_day_raw[4]       0.5507   0.4199  -0.1142    0.9566    4.3103    4.0323   6.8872
beta_day_raw[5]       0.1830   0.4971  -0.5678    0.8110    4.2180   11.1193   4.9790
beta_bkt_raw[0]      -0.2836   0.4532  -0.8087    0.3342    4.2047   17.6846   8.1876
beta_bkt_raw[1]      -0.1559   0.5887  -0.5001    0.8637    4.3681   47.2331   6.6733
beta_bkt_raw[2]       0.4249   0.4607  -0.3271    0.9273    4.2315   14.1351   4.7850
beta_bkt_raw[3]       0.1056   0.6819  -0.9256    0.9749    4.2980   21.0540   4.2095
beta_bkt_raw[4]       0.2697   0.4047  -0.1151    0.9483    4.3367   15.0971   8.0036
beta_bkt_raw[5]      -0.5205   0.4028  -0.9506   -0.0644    4.2807    4.0323   4.1965
beta_bkt_raw[6]       0.3437   0.1328   0.1995    0.5519    4.3457    4.0323   3.8205
beta_bkt_raw[7]      -0.3015   0.5826  -0.8053    0.6737    4.1938   12.7862   7.8270
beta_bkt_raw[8]      -0.1877   0.6374  -0.8631    0.8189    4.1782   14.5159   9.8607
beta_bkt_raw[9]      -0.2886   0.4158  -0.8682    0.2928    4.1751    4.0323   5.5330
beta_bkt_raw[10]     -0.3236   0.4498  -0.9906    0.2498    4.2043   14.9408   5.2172
beta_bkt_raw[11]     -0.1931   0.4690  -0.8484    0.3742    4.3102    4.0323   6.7933
beta_bkt_raw[12]      0.3821   0.5201  -0.4459    0.9854    4.3189   11.7184   4.0197
beta_bkt_raw[13]      0.5158   0.3120  -0.0102    0.8034    4.4044   13.4168   4.6432
beta_bkt_raw[14]     -0.1896   0.6283  -0.8306    0.5102    4.3611    4.0323   3.8353
beta_bkt_raw[15]     -0.0606   0.3042  -0.5264    0.2653    4.3385   28.9440   3.9115
beta_bkt_raw[16]      0.2567   0.2223  -0.0535    0.5294    4.2197    4.0323  10.8190
beta_bkt_raw[17]     -0.2642   0.5355  -0.8943    0.3501    4.2414   14.1858   4.6866
beta_bkt_raw[18]      0.2721   0.4515  -0.2971    0.9632    4.3105   13.1266   5.0438
beta_bkt_raw[19]     -0.1119   0.7046  -0.8774    0.7059    4.5615   27.6451   3.4270
beta_bkt_raw[20]      0.1997   0.3634  -0.2133    0.7437    4.1799    4.0323   5.4491
beta_bkt_raw[21]      0.2793   0.5731  -0.4874    0.9055    4.1790   10.7665   5.3805
beta_bkt_raw[22]      0.3560   0.1890   0.0496    0.5228    4.1756    4.0323   9.3655
beta_bkt_raw[23]     -0.0754   0.4420  -0.7393    0.4934    4.2664   11.2960   4.3466
beta_bkt_raw[24]     -0.1087   0.4061  -0.4056    0.5838    4.3941   63.2068   6.9834
beta_bkt_raw[25]      0.2705   0.5008  -0.4182    0.8682    4.3873    4.0323   6.7439
beta_bkt_raw[26]     -0.1058   0.6657  -0.8227    0.7380    4.3249    4.0323   3.9091
beta_bkt_raw[27]      0.1977   0.3224  -0.1639    0.7083    4.2407    4.0323   4.7616
beta_bkt_raw[28]     -0.0703   0.6272  -0.8607    0.6457    4.3210    4.0323   6.9777
beta_bkt_raw[29]      0.0851   0.5113  -0.6171    0.8032    4.2794   11.9256   4.7428
beta_bkt_raw[30]     -0.0780   0.8253  -0.9253    0.9077    4.3386   23.3208   8.2169
beta_bkt_raw[31]      0.0295   0.1876  -0.2722    0.2266    4.1066    4.0323   7.7125
beta_bkt_raw[32]     -0.2012   0.4630  -0.7561    0.3509    4.0866    4.0323   8.9932
beta_bkt_raw[33]      0.4138   0.4108  -0.2777    0.7587    4.3918   14.7104   5.3620
