NCP Model -- Fold 2
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6634  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail    r_hat
alpha              -39.0892   0.3229 -39.5458  -38.7118    4.3214     4.0323   9.4550
sigma_sym           43.5231  20.2805  22.7718   74.3451    4.1607    12.2580  16.6725
sigma_day           58.1686  22.6441  25.9058   85.6498    4.0458     4.0323  17.8487
sigma_bkt           69.9970  29.6602  36.6793  104.7468    4.0453     4.0323  18.6315
sigma_slot          38.2473  26.3133  11.9889   72.5239    4.1790     4.0323   6.0287
beta_sym_raw[0]      0.1072   0.5205  -0.3867    0.9473    4.3144     4.0323   4.0047
beta_sym_raw[1]     -0.0760   0.8448  -0.9724    0.8117    4.1771     4.0323  15.3819
beta_sym_raw[2]     -0.5557   0.1832  -0.6657   -0.2385    4.0745     4.0323   9.9978
beta_sym_raw[3]      0.3034   0.7297  -0.9331    0.8396    4.0556     4.0323  13.5556
beta_day_raw[0]      0.3117   0.5425  -0.5108    0.8719    4.1985    15.2759   5.2066
beta_day_raw[1]     -0.4599   0.6129  -1.4396    0.2452    4.2603    20.7280   4.7193
beta_day_raw[2]      0.6071   0.3965  -0.0599    0.9634    4.1661    13.5439   5.9049
beta_day_raw[3]     -0.0544   0.7970  -0.9795    0.7815    4.0484     4.0323  16.5831
beta_day_raw[4]      0.0731   0.7100  -0.9751    0.7358    4.1547    13.1240   6.2111
beta_day_raw[5]      0.0266   0.6693  -0.8636    0.9136    4.1567     4.0323  15.6945
beta_bkt_raw[0]      0.0395   0.3619  -0.5053    0.4208    4.2092    11.5050   5.0752
beta_bkt_raw[1]     -0.1756   0.3097  -0.5224    0.1611    4.0490     4.0323  16.0999
beta_bkt_raw[2]      0.2965   0.3250  -0.0452    0.8111    4.2884     4.0323   4.2042
beta_bkt_raw[3]      0.0247   0.4962  -0.6149    0.7700    4.0521     4.0323  14.8428
beta_bkt_raw[4]      0.0273   0.5932  -0.7806    0.7459    4.1758    11.6505   5.6370
beta_bkt_raw[5]     -0.4729   0.4002  -0.8177    0.1992    4.3140    13.6505   8.5141
