NCP Model -- Fold 3
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6331  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha              -38.0507   0.5698 -38.6811  -37.2302    4.0554    4.0323  13.8743
sigma_sym           34.1249   5.3764  28.8097   40.8678    4.0581    4.0323  13.0660
sigma_day           58.6783  19.0306  37.9625   81.5644    4.2617    4.0323   4.4084
sigma_bkt           54.2593  49.8005  15.7409  137.9376    4.2472    4.0323   4.8837
sigma_slot          33.4386  13.8550  23.9471   57.2248    4.0555    4.0323  13.6904
beta_sym_raw[0]      0.6008   0.5382  -0.2320    1.1279    4.2590    4.0323  10.7641
beta_sym_raw[1]      0.3663   0.3109  -0.0520    0.8110    4.3151   28.8895   9.6070
beta_sym_raw[2]     -0.1897   0.6526  -0.8790    0.8349    4.1432   11.2384  16.8974
beta_sym_raw[3]     -0.0503   0.6030  -0.8518    0.7644    4.0515    4.0323  15.1495
beta_day_raw[0]      0.3512   0.5206  -0.4324    0.9196    4.2968    4.0323   9.4671
beta_day_raw[1]     -0.6592   0.3074  -0.9198   -0.1441    4.0708    4.0323  10.8181
beta_day_raw[2]     -0.1607   0.3888  -0.5560    0.4378    4.2727   23.0155  10.8725
beta_day_raw[3]      0.2959   0.5451  -0.5954    0.7512    4.2703   20.2014   4.6920
beta_day_raw[4]     -0.0564   0.6549  -0.7453    0.6659    4.1520   11.1838  15.1169
beta_day_raw[5]     -0.3315   0.5742  -0.9410    0.6116    4.1855    4.0323   5.7523
beta_bkt_raw[0]     -0.2547   0.4629  -0.9748    0.1613    4.0544    4.0323  14.1217
beta_bkt_raw[1]      0.1690   0.6413  -0.7481    0.9947    4.2581    4.0323   9.8047
beta_bkt_raw[2]     -0.5289   0.3506  -0.9205   -0.0103    4.0506    4.0323  15.2907
beta_bkt_raw[3]      0.2123   0.5370  -0.5172    0.9826    4.2262    4.0323   4.9439
beta_bkt_raw[4]      0.2033   0.5300  -0.4531    0.7405    4.0470    4.0323  17.1043
beta_bkt_raw[5]     -0.0820   0.7022  -0.9187    0.9886    4.3176   14.9837   9.4269
beta_bkt_raw[6]      0.0871   0.4027  -0.3651    0.5277    4.1461   10.9605   6.1428
beta_bkt_raw[7]      0.0930   0.5349  -0.6233    0.8480    4.2415   34.6302  11.0442
beta_bkt_raw[8]      0.5588   0.2580   0.1866    0.8903    4.0520    4.0323  14.7571
beta_bkt_raw[9]     -0.2936   0.1836  -0.4533    0.0170    4.0804    4.0323   9.4367
beta_bkt_raw[10]     0.0309   0.3133  -0.2770    0.5292    4.0819    4.0323   9.6011
beta_bkt_raw[11]    -0.1828   0.6246  -0.9440    0.6424    4.1500   12.5012  16.7776
beta_bkt_raw[12]    -0.1068   0.6889  -0.8835    0.9947    4.0845    4.0323   9.4131
