NCP Model -- Fold 4
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 31633592.8714  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk   ess_tail         r_hat
alpha              -33.9274   0.5788 -34.4129  -32.9415    4.0323     4.0323  3.163359e+07
sigma_sym           75.2247  21.4955  51.8032  105.0173    4.0323     4.0323  3.163359e+07
sigma_day           48.6561  21.0094  24.4541   72.3115    4.0323  4000.0000  3.163359e+07
sigma_bkt           30.7429  16.2518  14.4658   57.5880    4.0323     4.0323  3.163359e+07
sigma_slot          34.5780  13.8492  11.0527   46.7327    4.0323     4.0323  3.163359e+07
beta_sym_raw[0]      0.1376   0.5808  -0.8456    0.6653    4.0323     4.0323  3.163359e+07
beta_sym_raw[1]      0.1511   0.4684  -0.6008    0.6795    4.0323     4.0323  3.163359e+07
beta_sym_raw[2]     -0.5506   0.2560  -0.8818   -0.2554    4.0323     4.0323  3.163359e+07
beta_sym_raw[3]     -0.0000   0.8254  -0.8334    0.8735    4.0323     4.0323  3.163359e+07
beta_day_raw[0]      0.3061   0.4202  -0.3162    0.7946    4.0323     4.0323  3.163359e+07
beta_day_raw[1]      0.0075   0.3582  -0.3598    0.4928    4.0323     4.0323  3.163359e+07
beta_day_raw[2]     -0.4010   0.3472  -0.8191    0.0025    4.0323     4.0323  3.163359e+07
beta_day_raw[3]     -0.2099   0.5051  -0.5762    0.6603    4.0323     4.0323  3.163359e+07
beta_day_raw[4]     -0.3555   0.3889  -0.7078    0.3012    4.0323     4.0323  3.163359e+07
beta_day_raw[5]     -0.2151   0.3500  -0.7466    0.2229    4.0323     4.0323  3.163359e+07
beta_bkt_raw[0]     -0.0376   0.7414  -0.7851    0.8082    4.0323     4.0323  3.163359e+07
beta_bkt_raw[1]     -0.1308   0.4959  -0.9136    0.3554    4.0323     4.0323  3.163359e+07
beta_bkt_raw[2]      0.2269   0.4744  -0.4434    0.8318    4.0323     4.0323  3.163359e+07
beta_bkt_raw[3]      0.2172   0.5767  -0.6022    0.9940    4.0323     4.0323  3.163359e+07
beta_bkt_raw[4]     -0.0644   0.5534  -0.6822    0.5357    4.0323     4.0323  3.163359e+07
beta_bkt_raw[5]     -0.3089   0.5179  -0.8897    0.5286    4.0323     4.0323  3.163359e+07
beta_bkt_raw[6]      0.0242   0.5444  -0.4639    0.9458    4.0323     4.0323  3.163359e+07
beta_bkt_raw[7]     -0.0113   0.5224  -0.5329    0.6227    4.0323     4.0323  3.163359e+07
