NCP Model -- Fold 5
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 1.0178  gate<1.05 -> PASS
ESS min:   314   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%   ess_bulk   ess_tail   r_hat
alpha              -37.3589  24.4199 -83.6512   11.0064  1658.2600  1537.8477  1.0011
sigma_sym           50.0406  28.0038  14.5817  104.3615  1338.4588  2032.2835  1.0026
sigma_day            6.7128   3.5688   2.0878   12.6143  1581.6064  2168.8136  1.0004
sigma_bkt            4.6882   3.2188   0.0021   10.2494   314.0027   599.9170  1.0178
sigma_slot          28.5216   2.4263  24.1367   33.2190  1241.4904  1930.5596  1.0011
beta_sym_raw[0]      0.2275   0.4927  -0.7345    1.1282  1724.1460  1877.6118  1.0020
beta_sym_raw[1]      0.3431   0.4967  -0.5539    1.2967  1848.4626  1880.0398  1.0019
beta_sym_raw[2]     -1.1297   0.7192  -2.4183    0.2269  1613.0464  1603.6336  1.0023
beta_sym_raw[3]      0.6828   0.5535  -0.3834    1.7054  1798.7074  1929.2793  1.0033
beta_day_raw[0]      0.5011   0.4865  -0.4139    1.3899  2104.0824  2882.7043  1.0000
beta_day_raw[1]     -1.0518   0.6327  -2.2593    0.0908  1971.3531  2665.5849  0.9999
beta_day_raw[2]      1.0357   0.5722  -0.0557    2.0796  1820.8696  2467.6720  1.0015
beta_day_raw[3]      0.4448   0.4727  -0.3943    1.3701  2070.8601  2493.4200  1.0005
beta_day_raw[4]     -0.2609   0.4879  -1.1994    0.6266  2235.1775  2555.8730  1.0002
beta_day_raw[5]     -0.5958   0.7197  -1.9841    0.7121  4513.1082  3247.6394  1.0002
beta_bkt_raw[0]      0.3344   0.9610  -1.4182    2.1700  3499.6975  2953.3701  1.0009
beta_bkt_raw[1]      0.0815   0.9500  -1.6788    1.9118  5049.0266  2580.7355  1.0004
beta_bkt_raw[2]      0.1209   0.9628  -1.6842    1.8699  5300.1194  3118.5028  1.0009
beta_bkt_raw[3]      0.0245   0.9566  -1.8235    1.8184  5549.4749  3180.4072  1.0005
beta_bkt_raw[4]      0.1653   0.9307  -1.6578    1.7967  4322.0896  3130.5341  1.0008
beta_bkt_raw[5]      0.0527   0.9566  -1.7603    1.8198  4981.8610  2946.8724  1.0004
beta_bkt_raw[6]      0.1291   0.9531  -1.6637    1.9084  4569.1478  3138.6465  1.0001
beta_bkt_raw[7]      0.0698   0.9434  -1.7320    1.8141  4233.9709  3110.0084  0.9998
beta_bkt_raw[8]      0.1548   0.9520  -1.5955    1.9409  4227.8893  2859.6640  1.0010
beta_bkt_raw[9]     -0.1584   0.9316  -1.8856    1.5855  4499.4176  3268.4127  1.0038
beta_bkt_raw[10]    -0.0090   0.9574  -1.7895    1.7837  4385.7936  3129.4139  1.0014
beta_bkt_raw[11]    -0.1428   0.9494  -1.9028    1.6384  4308.8842  3009.8429  1.0012
