symbol,account_name,trades,total_net_pnl,avg_pnl_trade,win_rate
ES,ES-TM_7,23240,87112.5,3.7483864027538725,61.385542168674704
FDAX,IPS_TM_13,1389,86925.0,62.58099352051836,60.97912167026638
FDAX,IPSPB1,1388,55625.0,40.075648414985594,60.73487031700289
ES,ES-TS_5,16728,46550.0,2.782759445241511,60.35987565758011
ES,ES-TS_4,18150,38787.5,2.137052341597796,68.17079889807162
CL,TS_6,9774,34819.99922171235,3.56251270940376,68.09903826478411
ES,ES-TM_9,3593,27125.0,7.5494016142499305,59.699415530197605
NQ,TS_3,6799,21345.0,3.13943226945139,65.53904986027356
CL,IPS_TM_3,162,15129.999661818147,93.39505964085276,64.19753086419753
NQ,TS_7,849,15080.0,17.762073027090693,65.2532391048292
CL,TM_6,167,14919.999666512012,89.3413153683354,68.8622754491018
CL,TM_3,161,14689.999671652913,91.24223398542182,63.975155279503106
CL,IPS_TM_6,170,14639.9996727705,86.11764513394412,67.64705882352942
ES,ES-IPS_TM_7,3055,14412.5,4.717675941080197,55.22094926350245
CL,TM_2,4039,10219.995518475771,2.5303281798652564,68.43278039118593
CL,IPS_TM_12,342,3839.9999141693115,11.22806992447167,50.0
NQ,IPSPB1,325,2510.0,7.723076923076923,62.76923076923077
NQ,TM_6,229,1860.0,8.12227074235808,68.99563318777294
ES,ES-TS_2,9363,525.0,0.056071771867991026,69.02702125387162
CL,TM_10,16,249.99999441206455,15.624999650754035,87.5
NQ,IPS_TM_13,324,-390.0,-1.2037037037037037,62.34567901234568
NQ,IPSTMUD1,153,-2145.0,-14.019607843137255,63.39869281045751
NQ,TM_11,2987,-2485.0,-0.8319383997321728,36.692333444928025
NQ,IPS_TM_12,651,-4700.0,-7.2196620583717355,60.98310291858679
CL,IPS_TM_13,307,-9869.999779388309,-32.14983641494563,60.26058631921825
NQ,TM_3,189,-11255.0,-59.55026455026455,65.60846560846561
NQ,IPS_TM_6,234,-13685.0,-58.48290598290598,65.8119658119658
NQ,IPS_TM_3,195,-14335.0,-73.51282051282051,64.61538461538461
ES,ES-TS_7,826,-15887.5,-19.234261501210653,68.64406779661016
CL,IPS_TM_7,3233,-19279.99956905842,-5.963501258601428,58.42870399010207
CL,TM_1,436,-20109.999550506473,-46.123852180060716,45.18348623853211
ES,ES-TS_3,5091,-20150.0,-3.9579650363386367,68.37556472205854
CL,IPS_TM_11,11649,-20209.9995482713,-1.7349128292790195,51.82419091767534
NQ,TM_1,847,-21580.0,-25.478158205430933,40.85005903187721
ES,ES-IPS_TM_13,2065,-23075.0,-11.174334140435835,58.93462469733656
ES,ES-TM_1,9468,-23862.5,-2.5203316434305028,47.465145754119135
NQ,TM_10,734,-27310.0,-37.20708446866485,63.76021798365122
ES,ES-IPS_TM_6,4342,-32650.0,-7.519576232151082,66.55918931368033
CL,PB_2,2713,-32829.99926619232,-12.100994937778223,51.56653151492813
ES,ES-IPS_TM_3,3847,-33262.5,-8.646347803483234,61.580452300493896
ES,ES-TM_3,3845,-35850.0,-9.323797139141742,61.56046814044214
CL,TS_4,1010,-36789.99917767942,-36.42574176007863,60.198019801980195
ES,ES-TS_6,19369,-50175.0,-2.5904796324022925,74.5882595900666
ES,ES-TM_6,4374,-51725.0,-11.825560128029263,66.55235482395976
CL,3Q_sim7,2009,-52379.99500662088,-26.072670486122885,63.56396217023394
CL,3Q_sim16,2156,-54159.998789429665,-25.12059313053324,71.42857142857143
CL,TS_7,269,-60459.99864861369,-224.75835928852672,47.95539033457249
NQ,TS_4,2678,-67670.0,-25.268857356235998,64.86183719193428
CL,TM_9,3359,-70819.99841704965,-21.08365537869891,56.62399523667758
NQ,IPS_TM_7,6351,-91065.0,-14.338686820973075,64.1788694693749
CL,3Q_sim19,2602,-97909.99398894607,-37.628744807435076,63.412759415833975
NQ,TM_D-R-1_2,20421,-112330.0,-5.500710053376427,71.06899760050928
ES,ES-IPS_TM_12,4352,-113375.0,-26.05124080882353,33.82352941176471
CL,3Q_sim15,5934,-115309.99485887584,-19.432085416055923,59.89214694978092
NQ,IPS_TM_11,10432,-116590.0,-11.176188650306749,61.311349693251536
CL,PB_3,24701,-146409.99672748148,-5.927290260616229,48.463624954455284
CL,TS_5,9595,-150649.9966327101,-15.700885527119343,57.73840541948931
CL,TM_8,5969,-152009.99660231173,-25.466576746910995,37.71150946557212
FDAX,IPS_TM_12,1711,-157175.0,-91.8614845119813,51.95791934541204
