month,n,monthly_pnl,cumulative_pnl
2024-07,1727,-39400.0,-39400.0
2024-08,5894,-87782.5,-127182.5
2024-09,3545,-108677.5,-235860.0
2024-10,3410,-94890.0,-330750.0
2024-11,3567,-52755.0,-383505.0
2024-12,834,-151462.5,-534967.5
2025-01,2070,-76895.0,-611862.5
2025-02,6928,330330.0,-281532.5
2025-03,11920,-493177.5,-774710.0
2025-04,14947,-323047.5,-1097757.5
2025-05,6506,-207390.0,-1305147.5
2025-06,6813,-120882.5,-1426030.0
2025-07,3491,-57712.5,-1483742.5
2025-08,1603,115.0,-1483627.5
2025-09,1375,-17007.5,-1500635.0
2025-10,1559,143155.0,-1357480.0
2025-11,2378,-215917.5,-1573397.5
2025-12,2948,-209437.5,-1782835.0
2026-01,4357,3422.5,-1779412.5
2026-02,5577,-244927.5,-2024340.0
2026-03,7328,-287597.49,-2311937.49
2026-04,5221,-182504.99,-2494442.48
2026-05,6223,53922.5,-2440519.98
2026-06,3546,-105917.5,-2546437.48
2026-07,3576,-23522.5,-2569959.98
