cycle,train_start,train_end,eval_month,n_train_trades,n_bh_cands,n_confirmed,eval_n_trades,eval_total_pnl,eval_mean_pnl,eval_sortino
1,2024-01,2024-06,2024-07,277857,90,42,1727,-39400.0,-22.8141,-0.0555
2,2024-02,2024-07,2024-08,338882,87,42,5894,-87782.5,-14.8935,-0.0237
3,2024-03,2024-08,2024-09,419704,96,35,3545,-108677.5,-30.6566,-0.05
4,2024-04,2024-09,2024-10,435358,93,22,3410,-94890.0,-27.827,-0.0523
5,2024-05,2024-10,2024-11,462616,87,17,3567,-52755.0,-14.7897,-0.0469
6,2024-06,2024-11,2024-12,487172,76,10,834,-151462.5,-181.6097,-0.2114
7,2024-07,2024-12,2025-01,480482,84,15,2070,-76895.0,-37.1473,-0.117
8,2024-08,2025-01,2025-02,542246,88,26,6928,330330.0,47.6804,0.0834
9,2024-09,2025-02,2025-03,570181,82,32,11920,-493177.5,-41.374,-0.0453
10,2024-10,2025-03,2025-04,681150,72,31,14947,-323047.5,-21.6129,-0.0234
11,2024-11,2025-04,2025-05,833183,74,42,6506,-207390.0,-31.8767,-0.0691
12,2024-12,2025-05,2025-06,839689,78,45,6813,-120882.5,-17.7429,-0.0438
13,2025-01,2025-06,2025-07,859721,89,48,3491,-57712.5,-16.5318,-0.0455
14,2025-02,2025-07,2025-08,814425,77,26,1603,115.0,0.0717,0.0002
15,2025-03,2025-08,2025-09,778149,83,27,1375,-17007.5,-12.3691,-0.0304
16,2025-04,2025-09,2025-10,679519,78,19,1559,143155.0,91.8249,0.1422
17,2025-05,2025-10,2025-11,522989,90,31,2378,-215917.5,-90.7979,-0.0431
18,2025-06,2025-11,2025-12,499535,95,42,2948,-209437.5,-71.0439,-0.0726
19,2025-07,2025-12,2026-01,469899,83,46,4357,3422.5,0.7855,0.0012
20,2025-08,2026-01,2026-02,476359,68,41,5577,-244927.5,-43.9174,-0.0593
21,2025-09,2026-02,2026-03,502555,86,44,7328,-287597.49,-39.2464,-0.0413
22,2025-10,2026-03,2026-04,611125,108,57,5221,-182504.99,-34.9559,-0.0547
23,2025-11,2026-04,2026-05,652192,102,65,6223,53922.5,8.665,0.0182
24,2025-12,2026-05,2026-06,677890,93,65,3546,-105917.5,-29.8696,-0.0423
25,2026-01,2026-06,2026-07,657046,98,44,3576,-23522.5,-6.5779,-0.0115
