run,n_cands,max_t,t_at_21
0,0,,1.0348128684670899
1,0,,1.0822640460579391
2,0,,1.0564567456097669
3,0,,1.1741266304574844
4,0,,1.2190922305703336
5,0,,1.1158041973402857
6,0,,1.2828003598841082
7,0,,0.840008698107623
8,0,,1.156858231438796
9,0,,1.242184743656087
10,0,,0.9051940682569433
11,0,,1.0101184967691301
12,0,,1.2332338283775965
13,0,,1.1686214204811862
14,0,,1.1019740914084337
15,0,,1.231807039630692
16,0,,0.9581452598615336
17,0,,1.1263204038013952
18,0,,1.1565787542436345
19,0,,1.0232698916907867
