slot_id,symbol,day,bucket,all_n,all_mean,all_t,all_bon_p,low_n,low_mean,low_t,low_bon_p,high_n,high_mean,high_t,trades_removed,pct_removed
180,CL,Thu,20:00,192,-138.39,-4.383,1.0,103,-158.74,-4.365,1.0,89,-114.83,-2.139,89,46.4
223,CL,Sun,18:00,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0
259,ES,Mon,12:00,6021,-26.76,-6.894,1.0,4707,-29.96,-7.48,1.0,1314,-15.3,-1.456,1314,21.8
260,ES,Mon,12:30,5762,-41.66,-10.553,1.0,4690,-39.12,-9.613,1.0,1072,-52.79,-4.573,1072,18.6
282,ES,Tue,00:00,571,-14.54,-0.904,1.0,382,-17.05,-1.024,1.0,189,-9.46,-0.27,189,33.1
357,ES,Wed,14:00,7304,-29.63,-7.265,1.0,5200,-40.94,-9.471,1.0,2104,-1.7,-0.183,2104,28.8
358,ES,Wed,14:30,8596,-11.12,-2.957,1.0,5964,-20.42,-4.794,1.0,2632,9.95,1.311,2632,30.6
587,FDAX,Wed,13:30,248,-82.16,-0.661,1.0,121,-266.94,-2.259,1.0,127,93.9,0.438,127,51.2
648,FDAX,Thu,23:00,43,-415.7,-2.107,1.0,36,-540.97,-2.365,1.0,7,228.57,1.533,7,16.3
675,FDAX,Fri,12:30,389,-422.81,-3.312,1.0,197,-12.69,-0.109,1.0,192,-843.62,-3.734,192,49.4
677,FDAX,Fri,13:30,259,-96.43,-0.87,1.0,179,-33.52,-0.274,1.0,80,-237.19,-1.023,80,30.9
712,NQ,Mon,09:30,4382,-48.62,-5.126,1.0,3480,-53.01,-4.901,1.0,902,-31.7,-1.622,902,20.6
714,NQ,Mon,10:30,2339,-17.35,-1.363,1.0,1872,-19.73,-1.316,1.0,467,-7.81,-0.365,467,20.0
715,NQ,Mon,11:00,1832,-87.9,-6.316,1.0,1541,-97.05,-6.278,1.0,291,-39.43,-1.266,291,15.9
716,NQ,Mon,11:30,1633,-67.93,-4.707,1.0,1287,-81.8,-5.01,1.0,346,-16.33,-0.532,346,21.2
718,NQ,Mon,12:30,1609,-8.81,-0.59,1.0,1377,-11.03,-0.664,1.0,232,4.38,0.139,232,14.4
719,NQ,Mon,13:00,1444,-8.74,-0.69,1.0,1107,-15.47,-1.101,1.0,337,13.4,0.47,337,23.3
854,NQ,Thu,09:30,4929,-10.8,-0.909,1.0,4352,-9.18,-0.712,1.0,577,-23.05,-0.782,577,11.7
863,NQ,Thu,14:00,1856,23.36,1.418,1.0,1651,12.61,0.85,1.0,205,109.98,1.231,205,11.0
901,NQ,Fri,09:30,4462,0.86,0.057,1.0,3439,25.37,1.502,1.0,1023,-81.52,-2.458,1023,22.9
906,NQ,Fri,12:00,1791,-37.05,-2.828,1.0,1451,-43.76,-3.226,1.0,340,-8.43,-0.224,340,19.0
