slot_id,symbol,day,bucket,all_n,all_mean,all_t,all_bon_p,vwap_n,vwap_mean,vwap_t,vwap_bon_p,trades_removed,pct_removed,excluded_fdax,direction
180,CL,Thu,20:00,196,-136.63,-4.417,1.0,88,-226.82,-5.535,1.0,108,55.1,False,WORSENED
223,CL,Sun,18:00,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,False,same
259,ES,Mon,12:00,5907,-26.76,-6.856,1.0,2831,-6.65,-1.121,1.0,3076,52.1,False,IMPROVED
260,ES,Mon,12:30,5672,-42.13,-10.65,1.0,2586,-32.6,-5.454,1.0,3086,54.4,False,IMPROVED
282,ES,Tue,00:00,509,-10.56,-0.606,1.0,254,2.02,0.082,1.0,255,50.1,False,IMPROVED
357,ES,Wed,14:00,7270,-29.44,-7.224,1.0,4023,-26.93,-4.355,1.0,3247,44.7,False,IMPROVED
358,ES,Wed,14:30,8639,-12.16,-3.249,1.0,4791,1.07,0.203,1.0,3848,44.5,False,IMPROVED
587,FDAX,Wed,13:30,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,True,EXCLUDED
648,FDAX,Thu,23:00,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,True,EXCLUDED
675,FDAX,Fri,12:30,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,True,EXCLUDED
677,FDAX,Fri,13:30,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,True,EXCLUDED
712,NQ,Mon,09:30,4828,-46.78,-5.42,1.0,2459,-79.32,-6.441,1.0,2369,49.1,False,WORSENED
714,NQ,Mon,10:30,2432,-17.18,-1.406,1.0,1173,-36.35,-2.246,1.0,1259,51.8,False,WORSENED
715,NQ,Mon,11:00,1868,-85.81,-6.294,1.0,887,-88.33,-4.433,1.0,981,52.5,False,WORSENED
716,NQ,Mon,11:30,1647,-69.34,-4.868,1.0,768,-54.11,-2.696,1.0,879,53.4,False,IMPROVED
718,NQ,Mon,12:30,1628,-7.79,-0.53,1.0,762,-9.67,-0.453,1.0,866,53.2,False,WORSENED
719,NQ,Mon,13:00,1452,-9.51,-0.755,1.0,651,-35.22,-1.875,1.0,801,55.2,False,WORSENED
854,NQ,Thu,09:30,5460,-16.19,-1.506,1.0,2949,-19.06,-1.091,1.0,2511,46.0,False,WORSENED
863,NQ,Thu,14:00,1925,23.01,1.448,1.0,1016,-0.75,-0.03,1.0,909,47.2,False,WORSENED
901,NQ,Fri,09:30,4994,-1.53,-0.113,1.0,2620,-10.05,-0.627,1.0,2374,47.5,False,WORSENED
906,NQ,Fri,12:00,1841,-36.27,-2.844,1.0,990,-28.65,-1.713,1.0,851,46.2,False,IMPROVED
