slot_id,symbol,day,bucket,month,n,mean_pnl,total_pnl,cumulative_pnl,pct_of_slot_total
260,ES,Mon,25,2025-07,527,-19.2837,-10162.5,-10162.5,4.22
260,ES,Mon,25,2025-08,635,-32.7559,-20800.0,-30962.5,8.63
260,ES,Mon,25,2025-09,323,-56.2307,-18162.5,-49125.0,7.53
260,ES,Mon,25,2025-10,214,-56.7173,-12137.5,-61262.5,5.03
260,ES,Mon,25,2025-11,743,-34.3708,-25537.5,-86800.0,10.59
260,ES,Mon,25,2025-12,610,-27.2746,-16637.5,-103437.5,6.9
260,ES,Mon,25,2026-01,257,-67.4125,-17325.0,-120762.5,7.19
260,ES,Mon,25,2026-02,414,-42.18,-17462.5,-138225.0,7.24
260,ES,Mon,25,2026-03,600,-90.8333,-54500.0,-192725.0,22.61
260,ES,Mon,25,2026-04,497,-50.5533,-25125.0,-217850.0,10.42
260,ES,Mon,25,2026-05,475,-52.7895,-25075.0,-242925.0,10.4
260,ES,Mon,25,2026-06,83,-115.2108,-9562.5,-252487.5,3.97
260,ES,Mon,25,2026-07,440,25.9091,11400.0,-241087.5,-4.73
863,NQ,Thu,28,2025-07,202,33.3168,6730.0,6730.0,15.52
863,NQ,Thu,28,2025-08,134,40.2985,5400.0,12130.0,12.45
863,NQ,Thu,28,2025-09,19,-262.1053,-4980.0,7150.0,-11.48
863,NQ,Thu,28,2025-10,142,119.2606,16935.0,24085.0,39.05
863,NQ,Thu,28,2025-11,97,248.9175,24145.0,48230.0,55.68
863,NQ,Thu,28,2025-12,103,49.7573,5125.0,53355.0,11.82
863,NQ,Thu,28,2026-01,93,5.1613,480.0,53835.0,1.11
863,NQ,Thu,28,2026-02,223,-20.4709,-4565.0,49270.0,-10.53
863,NQ,Thu,28,2026-03,82,-71.7683,-5885.0,43385.0,-13.57
863,NQ,Thu,28,2026-04,191,-56.6754,-10825.0,32560.0,-24.96
863,NQ,Thu,28,2026-05,146,-68.0137,-9930.0,22630.0,-22.9
863,NQ,Thu,28,2026-06,191,53.7696,10270.0,32900.0,23.68
863,NQ,Thu,28,2026-07,233,44.9142,10465.0,43365.0,24.13
259,ES,Mon,24,2025-07,685,0.3467,237.5,237.5,-0.15
259,ES,Mon,24,2025-08,564,-45.7004,-25775.0,-25537.5,16.0
259,ES,Mon,24,2025-09,325,-58.7308,-19087.5,-44625.0,11.85
259,ES,Mon,24,2025-10,310,-58.6694,-18187.5,-62812.5,11.29
259,ES,Mon,24,2025-11,681,25.8811,17625.0,-45187.5,-10.94
259,ES,Mon,24,2025-12,657,-41.153,-27037.5,-72225.0,16.78
259,ES,Mon,24,2026-01,296,-37.0355,-10962.5,-83187.5,6.8
259,ES,Mon,24,2026-02,353,-28.7181,-10137.5,-93325.0,6.29
259,ES,Mon,24,2026-03,674,-21.2352,-14312.5,-107637.5,8.88
259,ES,Mon,24,2026-04,531,-47.5753,-25262.5,-132900.0,15.68
259,ES,Mon,24,2026-05,607,-22.014,-13362.5,-146262.5,8.29
259,ES,Mon,24,2026-06,89,53.0899,4725.0,-141537.5,-2.93
259,ES,Mon,24,2026-07,292,-67.0377,-19575.0,-161112.5,12.15
677,FDAX,Fri,27,2025-07,9,-1097.2222,-9875.0,-9875.0,39.54
677,FDAX,Fri,27,2025-08,13,-165.3846,-2150.0,-12025.0,8.61
677,FDAX,Fri,27,2025-09,7,585.7143,4100.0,-7925.0,-16.42
677,FDAX,Fri,27,2025-10,19,697.3684,13250.0,5325.0,-53.05
677,FDAX,Fri,27,2025-11,6,604.1667,3625.0,8950.0,-14.51
677,FDAX,Fri,27,2025-12,23,518.4783,11925.0,20875.0,-47.75
